model_id,asteroid_id,lambda,beta,period,number,name,designation,reference_id,bibcode,a,b,c,R,R2
190,157,199.0,-20.0,6.3192,276.0,Adelheid,,139,2011icar..214..652d,0.111942,0.097832,0.09528,0.912538,0.9125347640287869
190,157,199.0,-20.0,6.3192,276.0,Adelheid,,149,2013icar..226.1045h,0.111942,0.097832,0.09528,0.912538,0.9125347640287869
190,157,199.0,-20.0,6.3192,276.0,Adelheid,,117,2007a&a...473..633m,0.111942,0.097832,0.09528,0.912538,0.9125347640287869
197,161,79.0,-35.0,8.73875,306.0,Unitas,,139,2011icar..214..652d,0.17615,0.142465,0.126106,0.800539,0.8005365085661416
197,161,79.0,-35.0,8.73875,306.0,Unitas,,126,2009p&ss...57..259d,0.17615,0.142465,0.126106,0.800539,0.8005365085661416
197,161,79.0,-35.0,8.73875,306.0,Unitas,,113,2007a&a...465..331d,0.17615,0.142465,0.126106,0.800539,0.8005365085661416
198,161,253.0,-17.0,8.73875,306.0,Unitas,,139,2011icar..214..652d,0.185991,0.149958,0.12364,0.744629,0.7446304373690634
198,161,253.0,-17.0,8.73875,306.0,Unitas,,113,2007a&a...465..331d,0.185991,0.149958,0.12364,0.744629,0.7446304373690634
215,170,3.0,30.0,9.02144,409.0,Aspasia,,139,2011icar..214..652d,0.092797,0.091365,0.069525,0.755088,0.7550874111752366
215,170,3.0,30.0,9.02144,409.0,Aspasia,,120,2008mpbu...35..167w,0.092797,0.091365,0.069525,0.755088,0.7550874111752366
247,191,304.0,-60.0,9.4148,747.0,Winchester,,139,2011icar..214..652d,0.092647,0.083304,0.07736,0.881826,0.88182211962847
247,191,304.0,-60.0,9.4148,747.0,Winchester,,129,2009a&a...498..313m,0.092647,0.083304,0.07736,0.881826,0.88182211962847
253,195,223.0,-40.0,4.116391,849.0,Ara,,139,2011icar..214..652d,0.161761,0.122813,0.105531,0.755831,0.7558351990023637
253,195,223.0,-40.0,4.116391,849.0,Ara,,123,2009a&a...493..291a,0.161761,0.122813,0.105531,0.755831,0.7558351990023637
253,195,223.0,-40.0,4.116391,849.0,Ara,,129,2009a&a...498..313m,0.161761,0.122813,0.105531,0.755831,0.7558351990023637
283,214,341.0,-14.0,7.16495,1263.0,Varsavia,,139,2011icar..214..652d,0.224606,0.174851,0.131914,0.670874,0.670874764600088
287,216,102.0,-8.0,15.70785,28.0,Bellona,,139,2011icar..214..652d,0.128131,0.109166,0.095829,0.812862,0.8128634482686935
287,216,102.0,-8.0,15.70785,28.0,Bellona,,149,2013icar..226.1045h,0.128131,0.109166,0.095829,0.812862,0.8128634482686935
288,217,317.0,17.0,8.75032,64.0,Angelina,,139,2011icar..214..652d,0.19024,0.16116,0.120168,0.688653,0.6886546726727442
289,217,138.0,14.0,8.75033,64.0,Angelina,,139,2011icar..214..652d,0.188216,0.15856,0.119747,0.695716,0.6957184206944406
290,218,103.0,43.0,14.84547,68.0,Leto,,139,2011icar..214..652d,0.100401,0.088869,0.087039,0.923162,0.9231607843372772
